loopId	chrA	startA	endA	chrB	startB	endB	distance
loopId2692	chr6	88490281	88495281	chr6	88775281	88780281	285000
loopId2693	chr6	90100281	90105281	chr6	90285281	90290281	185000
loopId2694	chr6	90280281	90285281	chr6	90470281	90475281	190000
loopId2695	chr5	119264305	119269305	chr5	119409305	119414305	145000
loopId2696	chr6	89370281	89375281	chr6	89595281	89600281	225000
loopId2697	chr6	89940281	89950281	chr6	90470281	90480281	530000
loopId2698	chr17	29702982	29712982	chr17	29752982	29762982	50000
loopId2699	chr17	29807982	29812982	chr17	29927982	29932982	120000
loopId2700	chr17	27802974	27807974	chr17	27887974	27892974	85000
loopId2701	chr17	28417982	28422982	chr17	28482982	28487982	65000
loopId2702	chr17	27352974	27362974	chr17	27592974	27602974	240000
loopId2703	chr17	27472974	27477974	chr17	27542974	27547974	70000
loopId2704	chr17	29147982	29152982	chr17	29217982	29222982	70000
loopId2705	chr6	91340282	91350282	chr6	91480282	91490282	140000
loopId2706	chr17	28842982	28852982	chr17	28892982	28902982	50000
loopId2707	chr17	29142982	29152982	chr17	29282982	29292982	140000
loopId2708	chr6	91480282	91490282	chr6	91820282	91830282	340000
loopId2709	chr1	54674327	54684327	chr1	54804327	54814327	130000
loopId2710	chr15	51637803	51647803	chr15	51767803	51777803	130000
loopId2711	chr2	65062866	65067866	chr2	65167866	65172866	105000
loopId2712	chr2	64937866	64942866	chr2	64982866	64987866	45000
loopId2713	chr2	64912866	64917866	chr2	65037866	65042866	125000
loopId2714	chr2	64747866	64752866	chr2	64827866	64832866	80000
loopId2715	chr2	64647866	64652866	chr2	64697866	64702866	50000
loopId2716	chr2	64642866	64647866	chr2	64862866	64867866	220000
loopId2717	chr2	64642866	64647866	chr2	64747866	64752866	105000
loopId2718	chr15	45452802	45457802	chr15	45612802	45617802	160000
loopId2719	chr2	64327866	64332866	chr2	64857866	64862866	530000
loopId2720	chr2	64327866	64332866	chr2	64562866	64567866	235000
loopId2721	chr5	158877992	158882992	chr5	158952992	158957992	75000
loopId2722	chr5	158692992	158702992	chr5	158952992	158962992	260000
loopId2723	chr5	159332992	159337992	chr5	159402992	159407992	70000
loopId2724	chr5	159152992	159162992	chr5	159452992	159462992	300000
loopId2725	chr5	160432993	160442993	chr5	160642993	160652993	210000
loopId2726	chr5	160202993	160212993	chr5	160332993	160342993	130000
loopId2727	chr5	160437993	160442993	chr5	160842993	160847993	405000
loopId2728	chr5	160437993	160442993	chr5	160482993	160487993	45000
loopId2729	chr5	170272996	170282996	chr5	170322996	170332996	50000
loopId2730	chr5	163457994	163462994	chr5	163497994	163502994	40000
loopId2731	chr6	11459767	11464767	chr6	11494767	11499767	35000
loopId2732	chr6	11429767	11434767	chr6	11494767	11499767	65000
loopId2733	chr16	1864999	1869999	chr16	1939999	1944999	75000
loopId2734	chr16	19558678	19568678	chr16	19878678	19888678	320000
loopId2735	chr6	27552221	27557221	chr6	27597221	27602221	45000
loopId2736	chr6	27832222	27837222	chr6	27887222	27892222	55000
loopId2737	chr6	27892222	27902222	chr6	28352223	28362223	460001
loopId2738	chr6	28132222	28137222	chr6	28352223	28357223	220001
loopId2739	chr6	2854766	2859766	chr6	2894766	2899766	40000
loopId2740	chr6	2854766	2859766	chr6	2929766	2934766	75000
loopId2741	chr6	28837223	28842223	chr6	28892223	28897223	55000
loopId2742	chr5	6219887	6229887	chr5	6269887	6279887	50000
loopId2743	chr6	29752223	29762223	chr6	29822223	29832223	70000
loopId2744	chr6	29822223	29832223	chr6	29942223	29952223	120000
loopId2745	chr19	10874324	10879324	chr19	10909324	10914324	35000
loopId2746	chr5	64169173	64174173	chr5	64204173	64209173	35000
loopId2747	chr19	10269324	10274324	chr19	10324324	10329324	55000
loopId2748	chr19	10189324	10199324	chr19	10239324	10249324	50000
loopId2749	chr19	10409324	10419324	chr19	10559324	10569324	150000
loopId2750	chr19	10269324	10274324	chr19	10384324	10389324	115000
loopId2751	chr12	62601220	62606220	chr12	62791220	62796220	190000
loopId2752	chr11	62902528	62912528	chr11	63022528	63032528	120000
loopId2753	chr12	6060834	6065834	chr12	6275834	6280834	215000
loopId2754	chr14	83873656	83883656	chr14	84033656	84043656	160000
loopId2755	chr14	83298656	83303656	chr14	83873656	83878656	575000
loopId2756	chr14	76958657	76963657	chr14	77038657	77043657	80000
loopId2757	chr12	6330834	6335834	chr12	6420834	6425834	90000
loopId2758	chr14	76878657	76883657	chr14	76943657	76948657	65000
loopId2759	chr14	75903657	75908657	chr14	75978657	75983657	75000
loopId2760	chr14	83153656	83163656	chr14	83243656	83253656	90000
loopId2761	chr14	81468656	81473656	chr14	81548656	81553656	80000
loopId2762	chr14	78443657	78453657	chr14	78563657	78573657	120000
loopId2763	chr14	77453657	77458657	chr14	77548657	77553657	95000
loopId2764	chr11	61892528	61902528	chr11	62102528	62112528	210000
loopId2765	chr1	161645210	161650210	chr1	161735210	161740210	90000
loopId2766	chr6	83220281	83230281	chr6	83510281	83520281	290000
loopId2767	chr6	83765281	83770281	chr6	83845281	83850281	80000
loopId2768	chr12	55621216	55626216	chr12	55656216	55661216	35000
loopId2769	chr20	41131360	41136360	chr20	41336360	41341360	205000
loopId2770	chr20	39821358	39831358	chr20	39871358	39881358	50000
loopId2771	chr20	40981360	40991360	chr20	41061360	41071360	80000
loopId2772	chr20	43751360	43756360	chr20	43836360	43841360	85000
loopId2773	chr20	44211360	44216360	chr20	44306360	44311360	95000
loopId2774	chr20	4109353	4114353	chr20	4159353	4164353	50000
loopId2775	chr13	78140865	78145865	chr13	78190865	78195865	50000
loopId2776	chr12	56191216	56196216	chr12	56461216	56466216	270000
loopId2777	chr1	160725210	160730210	chr1	160830210	160835210	105000
loopId2778	chr20	44481360	44491359	chr20	44601359	44611359	120000
loopId2779	chr20	44571359	44576359	chr20	44606359	44611359	35000
loopId2780	chr6	83890281	83900281	chr6	84220282	84230282	330001
loopId2781	chr13	86867745	86877745	chr13	87667745	87677745	800000
loopId2782	chr1	38024328	38029328	chr1	38814328	38819328	790000
loopId2783	chr3	195983129	195993129	chr3	197623129	197633129	1640000
loopId2784	chr3	195953129	195963129	chr3	197653129	197663129	1700000
loopId2785	chr3	196078129	196083129	chr3	196178129	196183129	100000
loopId2786	chr3	196073129	196078129	chr3	196108129	196113129	35000
loopId2787	chr3	196608129	196613129	chr3	196683129	196688129	75000
loopId2788	chr3	196243129	196253129	chr3	196613129	196623129	370000
loopId2789	chr3	197253129	197258129	chr3	197498129	197503129	245000
loopId2790	chr3	196973129	196983129	chr3	197023129	197033129	50000
loopId2791	chr3	197708129	197713129	chr3	197798129	197803129	90000
loopId2792	chr3	197303129	197308129	chr3	197393129	197398129	90000
loopId2793	chr3	121546153	121551153	chr3	122266153	122271153	720000
loopId2794	chr3	121546153	121551153	chr3	122296153	122301153	750000
loopId2795	chr3	119556153	119561153	chr3	119676153	119681153	120000
loopId2796	chr3	119596153	119601153	chr3	119676153	119681153	80000
loopId2797	chr3	118471153	118481153	chr3	118801153	118811153	330000
loopId2798	chr3	118636153	118641153	chr3	118806153	118811153	170000
loopId2799	chr3	121541153	121551153	chr3	122381153	122391153	840000
loopId2800	chr3	121546153	121551153	chr3	122101153	122106153	555000
loopId2801	chr3	121541153	121551153	chr3	121791153	121801153	250000
loopId2802	chr3	121541153	121551153	chr3	121821153	121831153	280000
loopId2803	chr6	7914767	7919767	chr6	7959767	7964767	45000
loopId2804	chr8	78852765	78857765	chr8	78912765	78917765	60000
loopId2805	chr8	78722765	78727765	chr8	78922765	78927765	200000
loopId2806	chr8	79767765	79772765	chr8	80027765	80032765	260000
loopId2807	chr8	79677765	79687765	chr8	80027765	80037765	350000
loopId2808	chr8	80087765	80092765	chr8	80227765	80232765	140000
loopId2809	chr8	80087765	80092765	chr8	80167765	80172765	80000
loopId2810	chr8	8242478	8252478	chr8	8662490	8672490	420012
loopId2811	chr8	80087765	80097765	chr8	80137765	80147765	50000
loopId2812	chr8	8282478	8287478	chr8	8332484	8337484	50006
loopId2813	chr8	80167765	80177765	chr8	80227765	80237765	60000
loopId2814	chr1	32974399	32984399	chr1	212586658	212596658	179612259
loopId2815	chr1	56404328	56414328	chr1	56574327	56584327	169999
loopId2816	chr13	33925863	33935863	chr13	35155863	35165863	1230000
loopId2817	chr8	127177755	127187755	chr8	127797754	127807754	619999
loopId2818	chr9	113272720	113277720	chr9	113402720	113407720	130000
loopId2819	chr9	113267720	113277720	chr9	113657720	113667720	390000
loopId2820	chr9	111827720	111832720	chr9	112072720	112077720	245000
loopId2821	chr9	111757720	111767720	chr9	111907720	111917720	150000
loopId2822	chr9	111757720	111762720	chr9	112072720	112077720	315000
loopId2823	chr9	111077720	111087720	chr9	111147720	111157720	70000
loopId2824	chr9	112077720	112087720	chr9	112357720	112367720	280000
loopId2825	chr9	112027720	112032720	chr9	112072720	112077720	45000
loopId2826	chr9	111982720	111987720	chr9	112027720	112032720	45000
loopId2827	chr9	111912720	111917720	chr9	112027720	112032720	115000
loopId2828	chr18	23615036	23620036	chr18	23810036	23815036	195000
loopId2829	chr18	23615036	23620036	chr18	23700036	23705036	85000
loopId2830	chr18	21200039	21210039	chr18	21440039	21450039	240000
loopId2831	chr18	14180001	14190001	chr18	14230001	14240001	50000
loopId2832	chr18	13565001	13570001	chr18	13610001	13615001	45000
loopId2833	chr18	13560001	13570001	chr18	13720001	13730001	160000
loopId2834	chr18	23135036	23140036	chr18	23225036	23230036	90000
loopId2835	chr18	23130036	23135036	chr18	23355036	23360036	225000
loopId2836	chr18	22930037	22935037	chr18	22975037	22980037	45000
loopId2837	chr18	22810037	22820037	chr18	22970037	22980037	160000
loopId2838	chr8	125282758	125287758	chr8	125427758	125432758	145000
loopId2839	chr13	33225863	33230863	chr13	33720863	33725863	495000
loopId2840	chr2	234286356	234291356	chr2	234486356	234491356	200000
loopId2841	chr22	34944011	34949011	chr22	35009010	35014010	64999
loopId2842	chr22	34414010	34424010	chr22	35124007	35134007	709997
loopId2843	chr13	33540863	33545863	chr13	33720863	33725863	180000
loopId2844	chr22	35349007	35354007	chr22	35578953	35583953	229946
loopId2845	chr22	35364007	35369007	chr22	35409007	35414007	45000
loopId2846	chr22	35024009	35034008	chr22	35224007	35234007	199999
loopId2847	chr22	35049008	35054007	chr22	35124007	35129007	75000
loopId2848	chr20	14329354	14339354	chr20	14709354	14719354	380000
loopId2849	chr22	35623953	35633953	chr22	35743953	35753953	120000
loopId2850	chr22	35623953	35633953	chr22	36113952	36123952	489999
loopId2851	chr4	73589283	73594283	chr4	73649283	73654283	60000
loopId2852	chr4	74204283	74214283	chr4	74294283	74304283	90000
loopId2853	chr4	74874790	74879790	chr4	74929790	74934790	55000
loopId2854	chr4	74929790	74934790	chr4	75289790	75294790	360000
loopId2855	chr4	6263273	6268273	chr4	6323273	6328273	60000
loopId2856	chr4	6718273	6728273	chr4	6848273	6858273	130000
loopId2857	chr4	67544282	67554282	chr4	67904282	67914282	360000
loopId2858	chr4	69054282	69059282	chr4	69159282	69164282	105000
loopId2859	chr4	75064790	75074790	chr4	75284790	75294790	220000
loopId2860	chr4	75988847	75998847	chr4	76058847	76068847	70000
loopId2861	chr19	39124360	39129360	chr19	39409360	39414360	285000
loopId2862	chr19	39119360	39124360	chr19	39334360	39339360	215000
loopId2863	chr19	38969360	38979360	chr19	39109360	39119360	140000
loopId2864	chr19	38719360	38729360	chr19	38929360	38939360	210000
loopId2865	chr1	16513505	16523505	chr1	16893505	16903505	380000
loopId2866	chr1	168450762	168455762	chr1	168555762	168560762	105000
loopId2867	chr19	3985002	3990002	chr19	4185003	4190003	200001
loopId2868	chr10	43284552	43294552	chr10	43454552	43464552	170000
loopId2869	chr11	67872529	67882529	chr11	67922529	67932529	50000
loopId2870	chr1	167715763	167720763	chr1	167930762	167935762	214999
loopId2871	chr11	68262532	68267532	chr11	68297532	68302532	35000
loopId2872	chr19	39549360	39559360	chr19	39669360	39679360	120000
loopId2873	chr1	167440763	167445763	chr1	167535763	167540763	95000
loopId2874	chr11	67642529	67652529	chr11	67692529	67702529	50000
loopId2875	chr1	167550763	167560763	chr1	167680763	167690763	130000
loopId2876	chr1	167600763	167605763	chr1	167685763	167690763	85000
loopId2877	chr17	50782639	50787639	chr17	50952639	50957639	170000
loopId2878	chr6	63595095	63600095	chr6	63760107	63765107	165012
loopId2879	chr6	63350095	63360095	chr6	63570095	63580095	220000
loopId2880	chr6	62970095	62975095	chr6	63095095	63100095	125000
loopId2881	chr6	6329767	6334767	chr6	6539767	6544767	210000
loopId2882	chr6	6329767	6334767	chr6	6489767	6494767	160000
loopId2883	chr10	35641072	35646072	chr10	35821072	35826072	180000
loopId2884	chr6	63350095	63355095	chr6	63760107	63765107	410012
loopId2885	chr6	6389767	6394767	chr6	6584767	6589767	195000
loopId2886	chr6	6389767	6394767	chr6	6544767	6549767	155000
loopId2887	chr6	6389767	6394767	chr6	6489767	6494767	100000
loopId2888	chr17	50852639	50857639	chr17	50952639	50957639	100000
loopId2889	chr21	14027679	14037679	chr21	14087679	14097679	60000
loopId2890	chr15	68297662	68307662	chr15	68517661	68527661	219999
loopId2891	chr15	67782662	67787662	chr15	67832662	67837662	50000
loopId2892	chr20	58979945	58984945	chr20	59034945	59039945	55000
loopId2893	chr20	58904945	58909945	chr20	58979945	58984945	75000
loopId2894	chr20	57384944	57394944	chr20	57474944	57484944	90000
loopId2895	chr20	5604354	5609354	chr20	5644354	5649354	40000
loopId2896	chr20	60164942	60169942	chr20	60199942	60204942	35000
loopId2897	chr20	60144944	60154944	chr20	60194942	60204942	49998
loopId2898	chr20	60054945	60064945	chr20	60194942	60204942	139997
loopId2899	chr20	59594945	59604945	chr20	59744945	59754945	150000
loopId2900	chr15	67097662	67102662	chr15	67237662	67242662	140000
loopId2901	chr20	62294944	62304944	chr20	62374944	62384944	80000
loopId2902	chr20	62064944	62069944	chr20	62119944	62124944	55000
loopId2903	chr1	56329328	56334328	chr1	56574327	56579327	244999
loopId2904	chr15	67082662	67087662	chr15	67302662	67307662	220000
loopId2905	chr15	67097662	67102662	chr15	67182662	67187662	85000
loopId2906	chr12	57836217	57841217	chr12	57896217	57901217	60000
loopId2907	chr14	32255794	32260794	chr14	32465794	32470794	210000
loopId2908	chr17	50307639	50312639	chr17	50342639	50347639	35000
loopId2909	chr1	33294399	33299399	chr1	33469399	33474399	175000
loopId2910	chr12	63841220	63846220	chr12	64251220	64256220	410000
loopId2911	chr17	50542639	50552639	chr17	50702639	50712639	160000
loopId2912	chr17	50162639	50172639	chr17	50292639	50302639	130000
loopId2913	chr11	5203770	5208770	chr11	5368770	5373770	165000
loopId2914	chr1	152877524	152882524	chr1	152917524	152922524	40000
loopId2915	chr19	1605001	1610001	chr19	1660001	1665001	55000
loopId2916	chr1	151097524	151102524	chr1	151152524	151157524	55000
loopId2917	chr1	151297524	151302524	chr1	151397524	151402524	100000
loopId2918	chr5	17224891	17229891	chr5	17904891	17909891	680000
loopId2919	chr5	172982997	172987997	chr5	173142997	173147997	160000
loopId2920	chr5	173287997	173292997	chr5	173577997	173582997	290000
loopId2921	chr5	173292997	173297997	chr5	173327997	173332997	35000
loopId2922	chr5	172702997	172712997	chr5	172922997	172932997	220000
loopId2923	chr5	172722997	172727997	chr5	172762997	172767997	40000
loopId2924	chr5	17219891	17224891	chr5	17274891	17279891	55000
loopId2925	chr17	16906686	16911686	chr17	16971686	16976686	65000
loopId2926	chr17	17691686	17696686	chr17	17726686	17731686	35000
loopId2927	chr17	17691686	17696686	chr17	17856686	17861686	165000
loopId2928	chr5	17279891	17284891	chr5	17314891	17319891	35000
loopId2929	chr5	173612997	173622997	chr5	174302997	174312997	690000
loopId2930	chr2	62197865	62202865	chr2	62407865	62412865	210000
loopId2931	chr2	62197865	62202865	chr2	62302865	62307865	105000
loopId2932	chr2	62302865	62307865	chr2	62402865	62407865	100000
loopId2933	chr2	62302865	62307865	chr2	62342865	62347865	40000
loopId2934	chr2	61992865	62002865	chr2	62192865	62202865	200000
loopId2935	chr2	61992865	61997865	chr2	62407865	62412865	415000
loopId2936	chr2	62142865	62147865	chr2	62342865	62347865	200000
loopId2937	chr2	62142865	62147865	chr2	62197865	62202865	55000
loopId2938	chr2	62452865	62457865	chr2	62772865	62777865	320000
loopId2939	chr2	62342865	62347865	chr2	62407865	62412865	65000
loopId2940	chr6	110678797	110688797	chr6	110868797	110878797	190000
loopId2941	chr6	110678797	110683797	chr6	110943797	110948797	265000
loopId2942	chr5	157147989	157152989	chr5	157307992	157312992	160003
loopId2943	chr5	157147989	157152989	chr5	157247990	157252990	100001
loopId2944	chr6	109183797	109188797	chr6	109378797	109383797	195000
loopId2945	chr5	156832989	156837989	chr5	156927989	156932989	95000
loopId2946	chr6	10954767	10959767	chr6	11494767	11499767	540000
loopId2947	chr5	154460440	154470440	chr5	154600440	154610440	140000
loopId2948	chr5	154190440	154200440	chr5	154400440	154410440	210000
loopId2949	chr6	109698797	109708797	chr6	110038797	110048797	340000
loopId2950	chr5	151660439	151665439	chr5	151720439	151725439	60000
loopId2951	chr5	151445439	151450439	chr5	151650439	151655439	205000
loopId2952	chr6	26064772	26069772	chr6	26099772	26104772	35000
loopId2953	chr6	26119772	26124772	chr6	26154772	26159772	35000
loopId2954	chr6	26049772	26059772	chr6	27142221	27152221	1092449
loopId2955	chr6	26054772	26059772	chr6	26199772	26204772	145000
loopId2956	chr6	26029772	26039772	chr6	27132221	27142221	1102449
loopId2957	chr6	26039772	26044772	chr6	27867222	27872222	1827450
loopId2958	chr6	25279772	25284772	chr6	25489772	25494772	210000
loopId2959	chr6	26029772	26034772	chr6	27822222	27827222	1792450
loopId2960	chr6	24854772	24859772	chr6	25014772	25019772	160000
loopId2961	chr6	24934772	24939772	chr6	24984772	24989772	50000
loopId2962	chr10	29561071	29571071	chr10	30661071	30671071	1100000
loopId2963	chr10	2947808	2952808	chr10	3037808	3042808	90000
loopId2964	chr10	29631071	29636071	chr10	29731071	29736071	100000
loopId2965	chr10	30411071	30416071	chr10	30526071	30531071	115000
loopId2966	chr10	30736071	30741071	chr10	31806072	31811072	1070001
loopId2967	chr10	30781071	30786071	chr10	31096071	31101071	315000
loopId2968	chr10	30781071	30786071	chr10	31316071	31321071	535000
loopId2969	chr10	30781071	30786071	chr10	31486071	31491071	705000
loopId2970	chr10	30781071	30791071	chr10	31801072	31811072	1020001
loopId2971	chr10	30951071	30961071	chr10	31001071	31011071	50000
loopId2972	chr1	247161698	247166698	chr1	247206698	247211698	45000
loopId2973	chr1	247386698	247391698	chr1	247486698	247491698	100000
loopId2974	chr2	181105273	181110273	chr2	181455273	181460273	350000
loopId2975	chr2	179020273	179025273	chr2	179100273	179105273	80000
loopId2976	chr2	178885273	178895273	chr2	179015273	179025273	130000
loopId2977	chr2	17758733	17763733	chr2	17828733	17833733	70000
loopId2978	chr7	117309946	117314946	chr7	117384946	117389946	75000
loopId2979	chr2	177260272	177265272	chr2	177295272	177300272	35000
loopId2980	chr2	177165272	177175272	chr2	177415272	177425272	250000
loopId2981	chr2	177165272	177175272	chr2	177295272	177305272	130000
loopId2982	chr15	69467661	69477661	chr15	69747661	69757661	280000
loopId2983	chr2	190715274	190725274	chr2	190775274	190785274	60000
loopId2984	chr13	75365864	75375864	chr13	75535864	75545864	170000
loopId2985	chr13	75365864	75370864	chr13	75480864	75485864	115000
loopId2986	chr2	190675274	190680274	chr2	190800274	190805274	125000
loopId2987	chr13	66135868	66140868	chr13	67220868	67225868	1085000
loopId2988	chr1	36159399	36164399	chr1	36284399	36289399	125000
loopId2989	chr13	69525868	69535868	chr13	69855868	69865868	330000
loopId2990	chr1	36349399	36354399	chr1	36419399	36424399	70000
loopId2991	chr1	36104399	36109399	chr1	36184399	36189399	80000
loopId2992	chr13	60335866	60340866	chr13	60425866	60430866	90000
loopId2993	chr1	36149399	36154399	chr1	36184399	36189399	35000
loopId2994	chr1	36144399	36154399	chr1	36414399	36424399	270000
loopId2995	chr2	191565274	191570274	chr2	191675274	191680274	110000
loopId2996	chr2	191050274	191055274	chr2	191150274	191155274	100000
loopId2997	chr2	191805274	191815274	chr2	192155274	192165274	350000
loopId2998	chr2	191635274	191640274	chr2	191675274	191680274	40000
loopId2999	chr10	83545244	83550244	chr10	83675244	83680244	130000
loopId3000	chr10	82810244	82815244	chr10	82965244	82970244	155000
loopId3001	chr10	82810244	82815244	chr10	82910244	82915244	100000
loopId3002	chr10	80540244	80545244	chr10	80590244	80595244	50000
loopId3003	chr10	86410243	86420243	chr10	86580243	86590243	170000
loopId3004	chr10	84260244	84270244	chr10	84530244	84540244	270000
loopId3005	chr10	84170244	84175244	chr10	84205244	84210244	35000
loopId3006	chr10	84150244	84160244	chr10	84200244	84210244	50000
loopId3007	chr10	87860243	87865243	chr10	88065243	88070243	205000
loopId3008	chr10	86710243	86715243	chr10	86900243	86905243	190000
loopId3009	chr9	107037719	107047719	chr9	107127719	107137719	90000
loopId3010	chr9	106977719	106987719	chr9	107037719	107047719	60000
loopId3011	chr9	107217719	107222719	chr9	107307719	107312719	90000
loopId3012	chr9	107212719	107217719	chr9	107287719	107292719	75000
loopId3013	chr9	109317720	109327720	chr9	109407720	109417720	90000
loopId3014	chr9	109097720	109107720	chr9	109397720	109407720	300000
loopId3015	chr9	109902720	109907720	chr9	110142720	110147720	240000
loopId3016	chr9	109902720	109907720	chr9	110047720	110052720	145000
loopId3017	chr9	109967720	109972720	chr9	110047720	110052720	80000
loopId3018	chr9	109912720	109917720	chr9	109967720	109972720	55000
loopId3019	chr12	124035453	124040453	chr12	124770454	124775454	735001
loopId3020	chr12	124125454	124135454	chr12	124765454	124775454	640000
loopId3021	chr12	122635453	122640453	chr12	122750453	122755453	115000
loopId3022	chr12	122890453	122895453	chr12	122950453	122955453	60000
loopId3023	chr12	12077066	12082066	chr12	12332066	12337066	255000
loopId3024	chr12	1115834	1120834	chr12	1600834	1605834	485000
loopId3025	chr12	123425453	123430453	chr12	123460453	123465453	35000
loopId3026	chr12	124035453	124040453	chr12	124315454	124320454	280001
loopId3027	chr12	122975453	122985453	chr12	123225453	123235453	250000
loopId3028	chr12	123390453	123395453	chr12	123430453	123435453	40000
loopId3029	chr13	99367746	99372746	chr13	99432746	99437746	65000
loopId3030	chr13	99437746	99447746	chr13	99497746	99507746	60000
loopId3031	chr22	27879012	27884012	chr22	28004012	28009012	125000
loopId3032	chr2	227455284	227465284	chr2	227845284	227855284	390000
loopId3033	chr6	158703968	158708968	chr6	158968968	158973968	265000
loopId3034	chr6	158638968	158648968	chr6	158688968	158698968	50000
loopId3035	chr6	158208968	158218968	chr6	158508968	158518968	300000
loopId3036	chr6	157763968	157768968	chr6	157798968	157803968	35000
loopId3037	chr6	157758968	157768968	chr6	157868968	157878968	110000
loopId3038	chr6	157558968	157563968	chr6	157663968	157668968	105000
loopId3039	chr6	15899769	15909769	chr6	16039769	16049769	140000
loopId3040	chr6	15899769	15904769	chr6	16124769	16129769	225000
loopId3041	chr6	158513968	158518968	chr6	158598968	158603968	85000
loopId3042	chr6	158513968	158518968	chr6	158548968	158553968	35000
loopId3043	chr18	33840036	33845036	chr18	34320036	34325036	480000
loopId3044	chr18	31735037	31740037	chr18	31830037	31835037	95000
loopId3045	chr18	3150002	3160002	chr18	3240002	3250002	90000
loopId3046	chr18	33845036	33850036	chr18	33935036	33940036	90000
loopId3047	chr18	34120036	34125036	chr18	34220036	34225036	100000
loopId3048	chr18	33935036	33940036	chr18	34320036	34325036	385000
loopId3049	chr18	34225036	34230036	chr18	34320036	34325036	95000
loopId3050	chr18	34120036	34125036	chr18	34320036	34325036	200000
loopId3051	chr18	3280002	3290002	chr18	3660000	3670000	379998
loopId3052	chr18	3280002	3285002	chr18	3595002	3600002	315000
loopId3053	chr1	24748509	24753509	chr1	24823509	24828509	75000
loopId3054	chr19	44686728	44691728	chr19	44721736	44726737	35008
loopId3055	chr19	44666731	44676728	chr19	44766743	44776743	100014
loopId3056	chr19	41454095	41459094	chr19	41533638	41538638	79544
loopId3057	chr19	41204095	41209095	chr19	41264095	41269095	60000
loopId3058	chr19	42450848	42455848	chr19	42525848	42530848	75000
loopId3059	chr19	41875930	41880933	chr19	41940848	41945848	64917
loopId3060	chr19	43450848	43455848	chr19	43520848	43525848	70000
loopId3061	chr1	93924444	93929444	chr1	93959444	93964444	35000
loopId3062	chr19	43745848	43750848	chr19	43780848	43785848	35000
loopId3063	chr19	43550848	43555848	chr19	43590848	43595848	40000
loopId3064	chr6	73675277	73680277	chr6	73730277	73735277	55000
loopId3065	chr6	73520277	73525277	chr6	73605277	73610277	85000
loopId3066	chr6	74410284	74420284	chr6	74460284	74470284	50000
loopId3067	chr6	74400284	74410284	chr6	74590284	74600284	190000
loopId3068	chr6	75280284	75285284	chr6	75490284	75495284	210000
loopId3069	chr6	74470284	74480284	chr6	75280284	75290284	810000
loopId3070	chr6	75280284	75290284	chr6	75740284	75750283	459999
loopId3071	chr6	75280284	75290284	chr6	75520284	75530284	240000
loopId3072	chr12	50246217	50251217	chr12	50281217	50286217	35000
loopId3073	chr6	75360284	75370284	chr6	75520284	75530284	160000
loopId3074	chr2	101418538	101423538	chr2	101828538	101833538	410000
loopId3075	chr2	101333538	101343538	chr2	101823538	101833538	490000
loopId3076	chr15	79027658	79032658	chr15	79182658	79187658	155000
loopId3077	chr20	6579353	6589353	chr20	6939353	6949353	360000
loopId3078	chr20	6579353	6589353	chr20	6819353	6829353	240000
loopId3079	chr20	6634353	6639353	chr20	6754353	6759353	120000
loopId3080	chr20	6584353	6589353	chr20	6624353	6629353	40000
loopId3081	chr20	6829353	6839353	chr20	7279353	7289353	450000
loopId3082	chr20	6769353	6779353	chr20	6819353	6829353	50000
loopId3083	chr20	9919352	9929352	chr20	10359352	10369352	440000
loopId3084	chr20	9409353	9419353	chr20	9609353	9619353	200000
loopId3085	chr1	172085860	172090860	chr1	172390860	172395860	305000
loopId3086	chr1	172175860	172180860	chr1	172335860	172340860	160000
loopId3087	chr11	72138954	72143956	chr11	72178956	72183956	40001
loopId3088	chr1	172085860	172090860	chr1	172175860	172180860	90000
loopId3089	chr11	72023954	72028954	chr11	72143956	72148956	120002
loopId3090	chr1	171800860	171810860	chr1	171980860	171990860	180000
loopId3091	chr1	170065859	170070859	chr1	170660859	170665859	595000
loopId3092	chr1	170530859	170540859	chr1	170920859	170930859	390000
loopId3093	chr1	16893505	16903505	chr1	143725349	143735350	126831844
loopId3094	chr1	172355860	172360860	chr1	172390860	172395860	35000
loopId3095	chr12	3990834	4000834	chr12	4110834	4120834	120000
loopId3096	chr12	3995834	4000834	chr12	4270834	4275834	275000
loopId3097	chr1	23808510	23813510	chr1	23863510	23868510	55000
loopId3098	chr1	23808510	23813510	chr1	23908510	23913510	100000
loopId3099	chr1	23718510	23723510	chr1	23753510	23758510	35000
loopId3100	chr12	40151198	40156198	chr12	40311198	40316198	160000
loopId3101	chr12	40166198	40171198	chr12	40226198	40231198	60000
loopId3102	chr1	23768510	23773510	chr1	23913510	23918510	145000
loopId3103	chr1	241526700	241536700	chr1	241626698	241636698	99998
loopId3104	chr1	23863510	23868510	chr1	23913510	23918510	50000
loopId3105	chr15	78747658	78757658	chr15	78867658	78877658	120000
loopId3106	chr11	16818453	16828453	chr11	16908453	16918453	90000
loopId3107	chr2	102298540	102303540	chr2	102353540	102358540	55000
loopId3108	chr15	78297658	78307658	chr15	78407658	78417658	110000
loopId3109	chr12	96516222	96521222	chr12	96571222	96576222	55000
loopId3110	chr1	116222378	116227378	chr1	116377378	116382378	155000
loopId3111	chr11	1688770	1698770	chr11	1828770	1838770	140000
loopId3112	chr19	10599324	10604324	chr19	10639324	10644324	40000
loopId3113	chr1	116567378	116572378	chr1	116672378	116677378	105000
loopId3114	chr14	61293282	61298282	chr14	61438282	61443282	145000
